"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Post by Id and validate the response","58","Get Post by Id","Surefire suite","Mon Sep 08 08:22:54 UTC 2025","passed","Mon Sep 08 08:22:54 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","getPostById"
"Delete Post by Id and validate the response","68","Delete Post by Id","Surefire suite","Mon Sep 08 08:22:54 UTC 2025","passed","Mon Sep 08 08:22:54 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","deletePostById"
"Create new post with Invalid UserId and validate the response","35","Create new post with Invalid UserId","Surefire suite","Mon Sep 08 08:22:52 UTC 2025","passed","Mon Sep 08 08:22:52 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","createNewPostwithInvalidUserId"
"Create new post with Unicode Characters and validate the response","109","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 08:22:54 UTC 2025","passed","Mon Sep 08 08:22:54 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Create new post without Body Field and validate the response","1551","Create new post without Body Field","Surefire suite","Mon Sep 08 08:22:50 UTC 2025","passed","Mon Sep 08 08:22:52 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","createNewPostWithNoBody"
"Create a new Post and validate the response","1270","Create a new Post","Surefire suite","Mon Sep 08 08:22:52 UTC 2025","passed","Mon Sep 08 08:22:53 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPost"
"Create new post with Unicode Characters and validate the response","192","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 08:22:53 UTC 2025","passed","Mon Sep 08 08:22:54 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Create new post with Unicode Characters and validate the response","116","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 08:22:54 UTC 2025","passed","Mon Sep 08 08:22:54 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Update Post by Id and validate the response","148","Update Post by Id","Surefire suite","Mon Sep 08 08:22:54 UTC 2025","passed","Mon Sep 08 08:22:54 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","updatePostById"
"Create new post without Title Field and validate the response","40","Create new post without Title Field","Surefire suite","Mon Sep 08 08:22:52 UTC 2025","passed","Mon Sep 08 08:22:52 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","createNewPostWithNoTitle"
"Create new post with Unicode Characters and validate the response","146","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 08:22:53 UTC 2025","passed","Mon Sep 08 08:22:53 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Create new post with Unicode Characters and validate the response","105","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 08:22:54 UTC 2025","passed","Mon Sep 08 08:22:54 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Get all posts and validate the response","117","Get all posts","Surefire suite","Mon Sep 08 08:22:54 UTC 2025","passed","Mon Sep 08 08:22:54 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","getAllPosts"
