"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Update Post by Id and validate the response","308","Update Post by Id","Surefire suite","Mon Sep 08 10:47:06 UTC 2025","passed","Mon Sep 08 10:47:06 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","updatePostById"
"Create new post without Body Field and validate the response","1570","Create new post without Body Field","Surefire suite","Mon Sep 08 10:47:01 UTC 2025","passed","Mon Sep 08 10:47:03 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","createNewPostWithNoBody"
"Create new post with Unicode Characters and validate the response","194","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 10:47:05 UTC 2025","passed","Mon Sep 08 10:47:05 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Create a new Post and validate the response","1208","Create a new Post","Surefire suite","Mon Sep 08 10:47:03 UTC 2025","passed","Mon Sep 08 10:47:04 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPost"
"Get Post by Id and validate the response","80","Get Post by Id","Surefire suite","Mon Sep 08 10:47:06 UTC 2025","passed","Mon Sep 08 10:47:06 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","getPostById"
"Create new post with Invalid UserId and validate the response","36","Create new post with Invalid UserId","Surefire suite","Mon Sep 08 10:47:03 UTC 2025","passed","Mon Sep 08 10:47:03 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","createNewPostwithInvalidUserId"
"Delete Post by Id and validate the response","129","Delete Post by Id","Surefire suite","Mon Sep 08 10:47:06 UTC 2025","passed","Mon Sep 08 10:47:06 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","deletePostById"
"Create new post with Unicode Characters and validate the response","166","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 10:47:05 UTC 2025","passed","Mon Sep 08 10:47:05 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Create new post without Title Field and validate the response","43","Create new post without Title Field","Surefire suite","Mon Sep 08 10:47:03 UTC 2025","passed","Mon Sep 08 10:47:03 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","createNewPostWithNoTitle"
"Create new post with Unicode Characters and validate the response","175","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 10:47:05 UTC 2025","passed","Mon Sep 08 10:47:05 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Create new post with Unicode Characters and validate the response","210","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 10:47:04 UTC 2025","passed","Mon Sep 08 10:47:05 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Get all posts and validate the response","141","Get all posts","Surefire suite","Mon Sep 08 10:47:05 UTC 2025","passed","Mon Sep 08 10:47:06 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","getAllPosts"
"Create new post with Unicode Characters and validate the response","292","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 10:47:05 UTC 2025","passed","Mon Sep 08 10:47:05 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
