"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create new post with Unicode Characters and validate the response","129","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 09:47:55 UTC 2025","passed","Mon Sep 08 09:47:55 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Get all posts and validate the response","121","Get all posts","Surefire suite","Mon Sep 08 09:47:56 UTC 2025","passed","Mon Sep 08 09:47:56 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","getAllPosts"
"Create new post without Title Field and validate the response","39","Create new post without Title Field","Surefire suite","Mon Sep 08 09:47:54 UTC 2025","passed","Mon Sep 08 09:47:54 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","createNewPostWithNoTitle"
"Create new post with Invalid UserId and validate the response","32","Create new post with Invalid UserId","Surefire suite","Mon Sep 08 09:47:54 UTC 2025","passed","Mon Sep 08 09:47:54 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","createNewPostwithInvalidUserId"
"Get Post by Id and validate the response","68","Get Post by Id","Surefire suite","Mon Sep 08 09:47:56 UTC 2025","passed","Mon Sep 08 09:47:56 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","getPostById"
"Create new post with Unicode Characters and validate the response","152","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 09:47:55 UTC 2025","passed","Mon Sep 08 09:47:56 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Create a new Post and validate the response","555","Create a new Post","Surefire suite","Mon Sep 08 09:47:54 UTC 2025","passed","Mon Sep 08 09:47:55 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPost"
"Create new post without Body Field and validate the response","1482","Create new post without Body Field","Surefire suite","Mon Sep 08 09:47:53 UTC 2025","passed","Mon Sep 08 09:47:54 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","createNewPostWithNoBody"
"Update Post by Id and validate the response","93","Update Post by Id","Surefire suite","Mon Sep 08 09:47:56 UTC 2025","passed","Mon Sep 08 09:47:56 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","updatePostById"
"Create new post with Unicode Characters and validate the response","98","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 09:47:55 UTC 2025","passed","Mon Sep 08 09:47:55 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Create new post with Unicode Characters and validate the response","130","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 09:47:55 UTC 2025","passed","Mon Sep 08 09:47:55 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Create new post with Unicode Characters and validate the response","115","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 09:47:55 UTC 2025","passed","Mon Sep 08 09:47:55 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Delete Post by Id and validate the response","58","Delete Post by Id","Surefire suite","Mon Sep 08 09:47:56 UTC 2025","passed","Mon Sep 08 09:47:56 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","deletePostById"
